"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
1541,"Broussonetia species","Broussonetia","Broussonetia","L’Hér. ex Vent.","Broussonetia species","Broussonetia","vascular"
1542,"Bruchia flexuosa","Bruchia flexuosa","Bruchia flexuosa","(Schwägr.) Müll.Hal.","Bruchia flexuosa","Bruchia flexuosa","bryophyte"
1543,"Bruchia vogesiaca","Bruchia vogesiaca","Bruchia vogesiaca","Nestl. ex Schwägr.","Bruchia vogesiaca","Bruchia vogesiaca","bryophyte"
1544,"Bruchia species","Bruchia","Bruchia","Schwägr.","Bruchia species","Bruchia","bryophyte"
1545,"Brunnera macrophylla","Brunnera macrophylla","Brunnera macrophylla","(Adams) I.M.Johnst.","Brunnera macrophylla","Brunnera macrophylla","vascular"
1546,"Brunnera species","Brunnera","Brunnera","Steven","Brunnera species","Brunnera","vascular"
1547,"Bryhnia novae-angliae","Bryhnia novae-angliae","Bryhnia novae-angliae","(Sull. & Lesq.) A.Jaeger","Bryhnia novae-angliae","Bryhnia novae-angliae","bryophyte"
1548,"Bryhnia species","Bryhnia","Bryhnia","Kaurin","Bryhnia species","Bryhnia","bryophyte"
1549,"Bryobrittonia longipes","Bryobrittonia longipes","Bryobrittonia longipes","(Mitt.) D.G.Horton","Bryobrittonia longipes","Bryobrittonia longipes","bryophyte"
1550,"Bryobrittonia species","Bryobrittonia","Bryobrittonia","R.S.Williams","Bryobrittonia species","Bryobrittonia","bryophyte"
1551,"Bryoerythrophyllum alpigenum","Bryoerythrophyllum alpigenum","Bryoerythrophyllum alpigenum","(Jur.) P.C.Chen","Bryoerythrophyllum alpigenum","Bryoerythrophyllum alpigenum","bryophyte"
1552,"Bryoerythrophyllum caledonicum","Bryoerythrophyllum caledonicum","Bryoerythrophyllum caledonicum","D.G.Long","Bryoerythrophyllum caledonicum","Bryoerythrophyllum caledonicum","bryophyte"
1553,"Bryoerythrophyllum lusitanicum","Bryoerythrophyllum lusitanicum","Bryoerythrophyllum lusitanicum","(Müll.Hal.) H.A.Crum","Bryoerythrophyllum lusitanicum","Bryoerythrophyllum lusitanicum","bryophyte"
1554,"Bryoerythrophyllum machadoanum","Bryoerythrophyllum machadoanum","Bryoerythrophyllum machadoanum","(Müll.Hal.) H.A.Crum","Bryoerythrophyllum machadoanum","Bryoerythrophyllum machadoanum","bryophyte"
1555,"Bryoerythrophyllum recurvirostre","Bryoerythrophyllum recurvirostrum","Bryoerythrophyllum recurvirostrum","(Hedw.) P.C.Chen","Bryoerythrophyllum recurvirostrum","Bryoerythrophyllum recurvirostrum","bryophyte"
1556,"Bryoerythrophyllum rubrum","Bryoerythrophyllum rubrum","Bryoerythrophyllum rubrum","(Jur. ex Geh.) P.C.Chen","Bryoerythrophyllum rubrum","Bryoerythrophyllum rubrum","bryophyte"
1557,"Bryoerythrophyllum species","Bryoerythrophyllum","Bryoerythrophyllum","P.C.Chen","Bryoerythrophyllum species","Bryoerythrophyllum","bryophyte"
1558,"Bryonia alba","Bryonia alba","Bryonia alba","L.","Bryonia alba","Bryonia alba","vascular"
1559,"Bryonia dioica","Bryonia dioica","Bryonia dioica","Jacq.","Bryonia dioica","Bryonia dioica","vascular"
1560,"Bryonia species","Bryonia","Bryonia","L.","Bryonia species","Bryonia","vascular"
1561,"Bryonora castanea","Bryonora castanea","Bryonora castanea","(Hepp) Poelt","Bryonora castanea","Bryonora castanea","lichen"
1562,"Bryonora corallina","Bryonora corallina","Bryonora corallina","Poelt, 1983","Bryonora corallina","Bryonora corallina","lichen"
1563,"Bryonora curvescens","Bryonora curvescens","Bryonora curvescens","(Mudd) Poelt","Bryonora curvescens","Bryonora curvescens","lichen"
1564,"Bryonora curvescens f. andreaeae","Bryonora curvescens f. andreaeae","Bryonora curvescens f. andreaeae","(Mudd) Poelt","Bryonora curvescens f. andreaeae","Bryonora curvescens f. andreaeae","lichen"
1565,"Bryonora rhypariza","Bryonora rhypariza","Bryonora rhypariza","(Nyl.) Hafellner & Türk","Bryonora rhypariza","Bryonora rhypariza","lichen"
1566,"Bryonora species","Bryonora","Bryonora","Poelt, 1983","Bryonora species","Bryonora","lichen"
1567,"Bryophagus gloeocapsa","Bryophagus gloeocapsa","Bryophagus gloeocapsa","(Nitschke ex Arnold) Baloch, Gilenstam & Wedin","Bryophagus gloeocapsa","Bryophagus gloeocapsa","lichen"
1568,"Bryophagus species","Bryophagus","Bryophagus","Corda","Bryophagus species","Bryophagus","lichen"
1569,"Bryoria bicolor","Bryoria bicolor","Bryoria bicolor","(Hoffm.) Brodo & D.Hawksw.","Bryoria bicolor","Bryoria bicolor","lichen"
1570,"Bryoria capillaris","Bryoria capillaris","Bryoria capillaris","(Ach.) Brodo & D.Hawksw.","Bryoria capillaris","Bryoria capillaris","lichen"
1571,"Bryoria carpatica","Bryoria carpatica","Bryoria carpatica","Brodo & D.Hawksw., 1977","Bryoria carpatica","Bryoria carpatica","lichen"
1572,"Bryoria chalybeiformis","Bryoria chalybeiformis","Bryoria chalybeiformis","(L.) Brodo & D.Hawksw.","Bryoria chalybeiformis","Bryoria chalybeiformis","lichen"
1573,"Bryoria furcellata","Bryoria furcellata","Bryoria furcellata","(Fr.) Brodo & D.Hawksw.","Bryoria furcellata","Bryoria furcellata","lichen"
1574,"Bryoria fuscescens","Bryoria fuscescens","Bryoria fuscescens","(Gyeln.) Brodo & D.Hawksw.","Bryoria fuscescens","Bryoria fuscescens","lichen"
1575,"Bryoria fuscescens f. pallida","Bryoria fuscescens f. pallida","Bryoria fuscescens f. pallida","(Savicz) D.Hawksw.","Bryoria fuscescens f. pallida","Bryoria fuscescens f. pallida","lichen"
1576,"Bryoria implexa","Bryoria implexa","Bryoria implexa","(Hoffm.) Brodo & D.Hawksw.","Bryoria implexa","Bryoria implexa","lichen"
1577,"Bryoria intricans","Bryoria intricans","Bryoria intricans","(Vain.) Brodo & D.Hawksw.","Bryoria intricans","Bryoria intricans","lichen"
1578,"Bryoria jubata","Bryoria jubata","Bryoria jubata","(Tuck.) Brodo & Hawksw.","Bryoria jubata","Bryoria jubata","lichen"
1579,"Bryoria kuemmerleana","Bryoria kuemmerleana","Bryoria kuemmerleana","(Gyeln.) Brodo & D.Hawksw.","Bryoria kuemmerleana","Bryoria kuemmerleana","lichen"
1580,"Bryoria lanestris","Bryoria lanestris","Bryoria lanestris","(Ach.) Brodo & D.Hawksw.","Bryoria lanestris","Bryoria lanestris","lichen"
1581,"Bryoria motykana","Bryoria motykana","Bryoria motykana",NA,"Bryoria motykana","Bryoria motykana","lichen"
1582,"Bryoria nadvornikiana","Bryoria nadvornikiana","Bryoria nadvornikiana","(Gyeln.) Brodo & D.Hawksw.","Bryoria nadvornikiana","Bryoria nadvornikiana","lichen"
1583,"Bryoria osteola","Bryoria osteola","Bryoria osteola","(Hoffm.) Brodo & D.Hawksw.","Bryoria osteola","Bryoria osteola","lichen"
1584,"Bryoria positiva","Bryoria positiva","Bryoria positiva","(Gyeln.) Bystrek","Bryoria positiva","Bryoria positiva","lichen"
1585,"Bryoria pseudofuscescens","Bryoria pseudofuscescens","Bryoria pseudofuscescens","(Gyeln.) Brodo & D.Hawksw.","Bryoria pseudofuscescens","Bryoria pseudofuscescens","lichen"
1586,"Bryoria setacea","Bryoria setacea","Bryoria setacea","(Ach.) Brodo & D.Hawksw.","Bryoria setacea","Bryoria setacea","lichen"
1587,"Bryoria simplicior","Bryoria simplicior","Bryoria simplicior","(Vain.) Brodo & D.Hawksw.","Bryoria simplicior","Bryoria simplicior","lichen"
1588,"Bryoria smithii","Bryoria smithii","Bryoria smithii","(Du Rietz) Brodo & D.Hawksw.","Bryoria smithii","Bryoria smithii","lichen"
1589,"Bryoria subcana","Bryoria subcana","Bryoria subcana","(Nyl. ex Stizenb.) Brodo & D.Hawksw.","Bryoria subcana","Bryoria subcana","lichen"
1590,"Bryoria tatarkiewiczii","Bryoria tatarkiewiczii","Bryoria tatarkiewiczii","Brodo & D.Hawksw., 1977","Bryoria tatarkiewiczii","Bryoria tatarkiewiczii","lichen"
1591,"Bryoria tenuis","Bryoria tenuis","Bryoria tenuis","(E.Dahl) Brodo & D.Hawksw.","Bryoria tenuis","Bryoria tenuis","lichen"
1592,"Bryoria trichodes","Bryoria trichodes","Bryoria trichodes","(Michx.) Brodo & D.Hawksw.","Bryoria trichodes","Bryoria trichodes","lichen"
1593,"Bryoria species","Bryoria","Bryoria","Brodo & D.Hawksw., 1977","Bryoria species","Bryoria","lichen"
1594,"Bryoxiphium norvegicum","Bryoxiphium norvegicum","Bryoxiphium norvegicum","(Brid.) Mitt.","Bryoxiphium norvegicum","Bryoxiphium norvegicum","bryophyte"
1595,"Bryoxiphium species","Bryoxiphium","Bryoxiphium","Mitt.","Bryoxiphium species","Bryoxiphium","bryophyte"
1596,"Bryum algovicum","Bryum algovicum","Bryum algovicum","Sendtn.","Bryum algovicum","Bryum algovicum","bryophyte"
1597,"Bryum alpinum","Bryum alpinum","Bryum alpinum","Huds.","Bryum alpinum","Bryum alpinum","bryophyte"
1598,"Bryum alpinum complex","Bryum alpinum complex","Bryum alpinum complex",NA,"Bryum alpinum complex","Bryum alpinum complex","bryophyte"
1599,"Bryum archangelicum","Bryum archangelicum","Bryum archangelicum","Bruch & Schimp.","Bryum archangelicum","Bryum archangelicum","bryophyte"
1600,"Bryum arcticum","Bryum arcticum","Bryum arcticum","(R.Br.) Bruch & Schimp.","Bryum arcticum","Bryum arcticum","bryophyte"
1601,"Bryum argenteum","Bryum argenteum","Bryum argenteum","Hedw.","Bryum argenteum","Bryum argenteum","bryophyte"
1602,"Bryum atrovirens agg.","Bryum atrovirens agg.","Bryum atrovirens agg.","Hedw.","Bryum erythrocarpum s.lat.","Bryum erythrocarpum s.lat.","bryophyte"
1603,"Bryum axel-blyttii","Bryum axel-blyttii","Bryum axel-blyttii","(H.Philib.) J.R.Spence","Bryum axel-blyttii","Bryum axel-blyttii","bryophyte"
