NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Tilia platyphyllos ssp. pseudorubra,Tilia platyphyllos subsp. pseudorubra,subspecies,4,6,5,7,7,0,4,6,5,x,7
Tillaea aquatica,Tillaea aquatica,species,8,6,8,4,3,0,8,6,8,x,3
Tofieldia calyculata,Tofieldia calyculata,species,8,5,8,8,2,0,8,5,8,8,2
Tordylium maximum,Tordylium maximum,species,7,8,3,6,6,0,7,8,3,6,6
Torilis arvensis,Torilis arvensis,species,7,7,4,7,6,1,7,7,4,7,6
Torilis arvensis ssp. arvensis,Torilis arvensis subsp. arvensis,subspecies,7,7,4,7,6,1,7,7,4,7,6
Torilis japonica,Torilis japonica,species,6,6,5,7,8,1,6,6,5,7,8
Torilis nodosa,Torilis nodosa,species,8,7,4,7,7,1,8,7,4,7,7
Tragopogon dubius,Tragopogon dubius,species,8,7,4,7,5,0,8,7,4,7,5
Tragopogon orientalis,Tragopogon orientalis,species,7,6,4,7,6,0,7,6,4,7,6
Tragopogon pratensis,Tragopogon pratensis,species,7,5,5,7,6,0,7,5,5,7,6
Tragopogon pratensis agg.,Tragopogon pratensis agg.,aggregate,7,5,5,7,6,0,7,5,5,7,6
Tragopogon pratensis ssp. minor,Tragopogon pratensis subsp. minor,subspecies,7,5,5,7,6,0,7,5,5,7,6
Tragopogon pratensis ssp. pratensis,Tragopogon pratensis subsp. pratensis,subspecies,7,5,5,7,6,0,7,5,5,7,6
Tragus racemosus,Tragus racemosus,species,8,8,3,6,6,1,8,8,3,x,6
Trapa natans,Trapa natans,species,8,7,11,7,7,0,8,7,11,7,7
Traunsteinera globosa,Traunsteinera globosa,species,7,4,5,8,3,0,7,4,5,8,3
Tribulus terrestris,Tribulus terrestris,species,8,9,3,7,7,1,8,9,3,7,7
Trientalis europaea,Trientalis europaea,species,4,5,6,3,3,0,x,5,x,3,3
Trifolium alpestre,Trifolium alpestre,species,7,6,3,7,3,0,7,6,3,7,3
Trifolium alpinum,Trifolium alpinum,species,8,2,4,2,2,0,8,2,4,2,2
Trifolium arvense,Trifolium arvense,species,8,5,3,4,2,0,8,5,3,4,2
Trifolium aureum,Trifolium aureum,species,7,4,4,4,4,0,7,4,4,4,4
Trifolium badium,Trifolium badium,species,8,3,6,8,5,0,8,3,6,8,x
Trifolium campestre,Trifolium campestre,species,8,6,4,6,4,1,8,6,4,6,4
Trifolium dubium,Trifolium dubium,species,6,6,5,6,5,1,6,6,5,6,5
Trifolium fragiferum,Trifolium fragiferum,species,8,6,7,8,7,6,8,6,7,8,7
Trifolium fragiferum var. bonannii,Trifolium fragiferum var. bonannii,variant,8,6,7,8,7,6,8,6,7,8,7
Trifolium fragiferum var. fragiferum,Trifolium fragiferum var. fragiferum,variant,8,6,7,8,7,5,8,6,7,8,7
Trifolium hybridum,Trifolium hybridum,species,7,6,6,7,7,1,7,6,6,7,7
Trifolium hybridum ssp. hybridum,Trifolium hybridum subsp. hybridum,subspecies,7,6,6,7,7,1,7,6,6,7,7
Trifolium hybridum var. hybridum,Trifolium hybridum var. hybridum,variant,7,6,6,7,7,1,7,6,6,7,7
