releve_nr,species,layer,cover_perc
86,Chenopodium album agg.,6,1
86,Chenopodium polyspermum,6,1
86,Cyclamen purpurascens,6,2
86,Dactylis polygama,6,4
86,Euphorbia cyparissias,6,2
86,Fallopia convolvulus,6,2
86,Fragaria moschata,6,3
86,Galeopsis tetrahit agg.,6,3
86,Galium odoratum,6,3
86,Hieracium murorum,6,2
86,Hypericum perforatum,6,2
86,Impatiens parviflora,6,2
86,Luzula campestris agg.,6,1
86,Melica uniflora,6,4
86,Moehringia trinervia,6,2
86,Mycelis muralis,6,1
86,Poa nemoralis,6,38
86,Polygonatum multiflorum,6,2
86,Quercus petraea agg.,1,88
86,Quercus petraea agg.,4,3
86,Quercus petraea agg.,7,4
86,Scrophularia nodosa,6,1
86,Senecio nemorensis agg.,6,2
86,Sorbus torminalis,7,1
86,Symphytum tuberosum s.lat.,6,2
86,Tilia cordata,4,4
86,Veronica officinalis,6,2
86,Viola reichenbachiana,6,3
87,Acer campestre,7,2
87,Acer pseudoplatanus,7,1
87,Alliaria petiolata,6,4
87,Campanula persicifolia,6,2
87,Campanula rapunculoides,6,1
87,Carex muricata agg.,6,1
87,Carex digitata,6,1
87,Carpinus betulus,1,3
87,Carpinus betulus,7,2
87,Chaerophyllum temulum,6,1
87,Clinopodium vulgare,6,2
87,Cornus mas,4,4
87,Cornus mas,7,2
87,Crataegus laevigata,4,4
87,Cyclamen purpurascens,6,3
87,Dactylis polygama,6,4
87,Epilobium montanum,6,1
87,Euonymus verrucosus,7,3
87,Euphorbia cyparissias,6,2
87,Euphorbia dulcis,6,1
87,Fallopia convolvulus,6,2
87,Fragaria moschata,6,1
87,Geranium robertianum,6,2
87,Hieracium murorum,6,2
87,Hypericum perforatum,6,1
87,Impatiens parviflora,6,2
87,Lapsana communis,6,4
87,Lathyrus niger,6,2
87,Ligustrum vulgare,7,3
87,Luzula luzuloides,6,2
87,Viscaria vulgaris,6,3
87,Melica uniflora,6,8
87,Myosotis sylvatica,6,3
87,Poa nemoralis,6,18
87,Polygonatum odoratum,6,2
87,Primula veris,6,1
87,Pulmonaria officinalis agg.,6,2
87,Quercus petraea agg.,1,63
87,Quercus petraea agg.,7,2
87,Hylotelephium telephium agg.,6,2
87,Silene nutans,6,2
87,Sorbus torminalis,7,1
87,Tanacetum corymbosum,6,1
87,Tilia cordata,1,3
87,Tilia cordata,7,2
87,Veronica chamaedrys agg.,6,2
87,Veronica officinalis,6,1
87,Vicia pisiformis,6,1
89,Acer pseudoplatanus,7,1
89,Alliaria petiolata,6,2
89,Anthericum ramosum,6,2
89,Carex muricata agg.,6,3
89,Carex humilis,6,4
89,Carex praecox,6,2
89,Carpinus betulus,1,3
89,Carpinus betulus,7,1
89,Chaerophyllum temulum,6,1
89,Crataegus monogyna s.lat.,4,3
89,Crataegus monogyna s.lat.,7,1
89,Fallopia convolvulus,6,3
89,Festuca ovina,6,2
89,Galeopsis tetrahit agg.,6,4
89,Galeopsis pubescens,6,3
89,Galium aparine,6,3
89,Impatiens parviflora,6,3
89,Luzula campestris agg.,6,2
89,Poa nemoralis,6,4
89,Prunus avium,7,2
89,Prunus spinosa,7,1
89,Quercus petraea agg.,1,63
89,Quercus petraea agg.,7,3
89,Ribes uva-crispa,6,1
89,Rosa,7,2
98,Astragalus glycyphyllos,6,1
98,Campanula persicifolia,6,1
98,Carex digitata,6,4
98,Carex montana,6,8
98,Carex muricata agg.,6,2
98,Carpinus betulus,7,1
98,Convallaria majalis,6,3
98,Digitalis grandiflora,6,2
98,Festuca ovina,6,2
98,Fragaria moschata,6,1
98,Galium aparine,6,1
98,Galium odoratum,6,1
98,Galium pumilum agg.,6,2
98,Genista tinctoria,6,1
98,Hieracium lachenalii,6,2
98,Hieracium murorum,6,2
98,Hieracium sabaudum s.lat.,6,3
98,Impatiens parviflora,6,2
98,Lathyrus niger,6,3
98,Lathyrus vernus,6,2
98,Loranthus europaeus,1,2
98,Luzula luzuloides,6,3
98,Melittis melissophyllum,6,1
98,Poa nemoralis,6,8
98,Prunus avium,7,1
98,Quercus petraea agg.,1,63
98,Quercus petraea agg.,4,3
98,Quercus petraea agg.,7,8
98,Rosa,7,2
98,Scrophularia nodosa,6,1
98,Senecio viscosus,6,1
98,Tanacetum corymbosum,6,2
98,Tilia cordata,7,1
98,Vicia sepium,6,1
98,Viola reichenbachiana,6,2
99,Carex montana,6,4
99,Carex pilosa,6,38
99,Carpinus betulus,7,3
99,Convallaria majalis,6,38
99,Crataegus monogyna s.lat.,7,1
99,Festuca ovina,6,2
99,Galium aparine,6,2
99,Galium odoratum,6,3
99,Genista tinctoria,6,2
99,Hieracium lachenalii,6,3
99,Hieracium murorum,6,3
99,Impatiens parviflora,6,2
99,Lathyrus niger,6,3
99,Lathyrus vernus,6,3
99,Loranthus europaeus,1,1
99,Luzula luzuloides,6,3
99,Melampyrum arvense,6,3
99,Melica uniflora,6,3
99,Poa pratensis agg.,6,2
99,Poa nemoralis,6,4
99,Prunus spinosa,7,1
99,Quercus petraea agg.,1,63
99,Quercus petraea agg.,7,8
99,Rosa,7,2
99,Sorbus torminalis,7,1
99,Tilia cordata,4,3
99,Trifolium alpestre,6,1
100,Acer platanoides,7,1
100,Allium senescens subsp. montanum,6,3
100,Anthericum ramosum,6,3
100,Calamagrostis arundinacea,6,1
100,Digitalis grandiflora,6,2
100,Festuca ovina,6,4
100,Galium aparine,6,1
100,Genista tinctoria,6,2
100,Hieracium lachenalii,6,2
100,Hieracium murorum,6,2
100,Hieracium sabaudum s.lat.,6,3
100,Loranthus europaeus,1,2
100,Luzula luzuloides,6,3
100,Melica uniflora,6,3
100,Poa nemoralis,6,3
100,Polygonatum odoratum,6,4
100,Quercus petraea agg.,1,63
100,Secale cereale,6,1
100,Hylotelephium telephium agg.,6,2
100,Senecio viscosus,6,2
100,Vincetoxicum hirundinaria,6,4
101,Acer campestre,7,2
101,Acer pseudoplatanus,7,2
101,Aegopodium podagraria,6,38
101,Ajuga reptans,6,2
101,Alliaria petiolata,6,1
101,Alnus glutinosa,1,38
101,Anemone nemorosa,6,2
101,Asarum europaeum,6,18
101,Brachypodium sylvaticum,6,2
101,Bromus ramosus agg.,6,2
101,Campanula rapunculoides,6,3
101,Corylus avellana,4,3
101,Equisetum arvense,6,2
101,Euonymus europaeus,7,2
101,Fragaria moschata,6,2
101,Fraxinus excelsior,1,38
101,Fraxinus excelsior,4,2
101,Fraxinus excelsior,7,2
101,Galeobdolon luteum agg.,6,2
101,Galium aparine,6,1
101,Galium odoratum,6,2
101,Geum urbanum,6,4
101,Heracleum sphondylium,6,1
101,Impatiens parviflora,6,3
101,Lysimachia nummularia,6,1
101,Maianthemum bifolium,6,2
101,Melica uniflora,6,1
101,Mercurialis perennis,6,1
101,Milium effusum,6,1
101,Polygonatum odoratum,6,1
101,Populus x canadensis,1,3
101,Populus x canadensis,4,2
101,Pulmonaria officinalis agg.,6,4
101,Ranunculus acris,6,2
101,Rhamnus cathartica,7,1
101,Stellaria holostea,6,3
101,Tilia cordata,4,2
101,Urtica dioica,6,2
101,Veronica chamaedrys agg.,6,2
101,Viburnum opulus,7,1
101,Vicia sylvatica,6,2
101,Viola mirabilis,6,2
102,Acer campestre,1,1
102,Acer campestre,7,2
102,Acer platanoides,7,2
102,Acer pseudoplatanus,7,1
102,Aegopodium podagraria,6,2
102,Alliaria petiolata,6,2
102,Anemone nemorosa,6,2
