"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
100062,"Koutecká V.",2003,"Změny vegetace v části nivy Odry u Ostravy (lesní a luční společenstva) vlivem povodně v červenci 1997.","Zpr. Čes. Bot. Společ., Praha, 38: 177-122."
100063,"Dostálek J.et Kučera J.",2007,"Flóra a vegetace národní přírodní rezervace Trčkov v Orlických horách.","Pr. Kraj. Mus. Hradec Králové, ser. A, 32: 17-34."
100064,"Čech L.",2003,"Crepis praemorsa (L.) F. L. Walther (škarda ukousnutá) na Chotěbořsku.","Vlastiv. Sborn. Vysočiny, Jihlava, sect. natur., 16: 103-105."
100065,"Lysák F.",2003,"Draba nemorosa L. ve Velkém Meziříčí.","Vlastiv. Sborn. Vysočiny, Jihlava, sect. natur., 16: 113-115."
100066,"Hofhanzlová E. et Ekrt L.",2007,"Floristický a vegetační inventarizační průzkum Národní přírodní rezervace Velký Špičák.","Acta Rer. Natur., Jihlava, 3: 11-20."
100067,"Rydlo J. et Bartošová M.",2009,"Příspěvek k poznání vodních makrofyt v okolí Rokytnice v Orlických horách, Pěčína, Kunvaldu a Kameničné.","Orchis. Zprav. Čes. Bot. Sect., Rychnov n. Kněžnou, 28: 14-22."
100068,"Pyšek A. et Hejný S.",2003,"Stručný přehled ruderální flóry a vegetace Mostu.","Severočes. Přír., Litoměřice, 35: 1-17."
100069,"Ondráček Č.",2003,"K výskytu a záchraně Cnidium dubium  (Schkuhr) Thell. a Carex melanostachya Bieb. ex. Willd. na Chomutovsku.","Severočes. Přír., Litoměřice, 35: 31-39."
100070,"Novák J.",2003,"Slatinná vegetace Roudnicka.","Severočes. Přír., Litoměřice, 35: 47-50."
100071,"Kubát K.",2003,"Krátká sdělení. Lathyrus pisiformis L.","Severočes. Přír., Litoměřice, 35: 103-104."
100072,"Rydlo Jan",2008,"Vodní makrofyta potoka Bačovky po 10 letech.","Pr. Muz. Kolín, ser. natur., 8: 11-24."
100073,"Turoňová D.",2008,"Flóra a vegetace národní přírodní rezervace Žehuňský rybník a návrh péče o chráněné území.","Pr. Muz. Kolín, ser. natur., 8: 47-72."
100074,"Kubát K.",2005,"Gymnadenia densiflora (Wahlenb.) A. Dietrich v severních Čechách.","Severočes. Přír., Litoměřice, 36-37: 23-29."
100075,"Kubát K.",2005,"Scilla vindobonensis Speta v severních Čechách.","Severočes. Přír., Litoměřice, 36-37: 30-35."
100076,"Nepraš K. et Kroufek R.",2005,"Nové nálezy záraz na Ústecku.","Severočes. Přír., Litoměřice, 36-37: 47-52."
100077,"Joza V., Kroufek R. et Nepraš K.",2005,"Příspěvek k rozšíření a fytocenologii šklebivce přímého Misopates orontium (L.) Rafin., v severozápadních Čechách.","Severočes. Přír., Litoměřice, 36-37: 41-45."
100078,"Jaroš P. et Novák J.",2005,"Současný stav populace Aster alpinus L. v NPR Bořeň a NPR Sedlo v Českém středohoří.","Severočes. Přír., Litoměřice, 36-37: 53-60."
100079,"Kolbek J. et Boublík K.",2006,"Rostlinná společenstva s Helictotrichon desertorum in the Czech Republic.","Severočes. Přír., Litoměřice, 38: 1-10."
100080,"Kubát K. et Němcová L.",2006,"Carlina acaulis v Českém středohoří a v jeho blízkém okolí.","Severočes. Přír., Litoměřice, 38: 37-38."
100081,"Macák M.",2006,"Nález Utricularia bremii Heer na Českolipsku.","Severočes. Přír., Litoměřice, 38: 149-152."
100082,"Nepraš K.",2006,"Saxifraga rosacea subsp. steinmanii (Tausch) Holub u Ústí nad Labem.","Severočes. Přír., Litoměřice, 38: 153-154."
100083,"Kubíková J.",2006,"Příspěvek k vegetaci Českého středohoří.","Severočes. Přír., Litoměřice, 38: 167-178."
100084,"Rydlo J.",2006,"Vodní makrofyta v rybnících v okolí Karlovky u Žandova v Českém středohoří.","Severočes. Přír., Litoměřice, 38: 179-185."
100085,"Hájková A.",2005,"Poznámky k výskytu jeleního jazyku celolistého (Phyllitis scolopendrium) v Podbeskydské pahorkatině.","Pr. a Stud. Muz. Beskyd Frýdek-Místek, ser. natur., 15: 163-167."
100086,"Hájková A. et Prymusová Z.",2007,"Příspěvek k rozšíření ostřice převislé (Carex pendula) na území severovýchodní Moravy a Slezska.","Pr. a Stud. Muz. Beskyd Frýdek-Místek, ser. natur., 19: 223-232."
100087,"Plánská M.",2007,"Invetarizační průzkum přírodní rezervace (PR) Vápenka.","Bezděz, Česká Lípa, 16: 135-156."
100088,"Plánská M.",2008,"Botanický inventarizační průzkum přírodní rezervace (PR) Spravedlnost.","Bezděz, Česká Lípa, 17: 187-204."
100089,"Nesvadbová J. et Sofron J.",2003,"Společenstvo s Myosurus minimus L. u Dolního Vlkýše.","Erica, Plzeň, 11: 105-107."
100090,"Nesvadbová J. et Sofron J.",2004,"Vegetace a fóra katastru obce Lhota (Plzeň-město).","Erica, Plzeň, 12: 51-64."
100091,"Matějková I.",2004,"Ochrana flóry a vegetace v přírodní rezervaci Na Volešku u Soběšic.","Erica, Plzeň, 12: 65-81."
100092,"Nesvadbová J. et Sofron J.",2006,"Vegetace a flóra katastrů obcí Malesice a Dolní Vlkýš (Plzeň-město).","Erica, Plzeň, 13: 17-35."
100093,"Řeřichová Z. et Chocholoušková Z.",2007,"Flóra a vegetace obchodní a průmyslové zóny Plzeň-Černice.","Erica, Plzeň, 14: 23-38."
100094,"Tájek P.",2007,"Flóra a vegetace připravované přírodní rezervace Rašeliniště u myslivny.","Erica, Plzeň, 14: 39-56."
100095,"Sofron J.",2008,"Lesní lemy Královského hvozdu na Šumavě.","Erica, Plzeň, 15: 26-54."
