"SYNTAXON","SYNTAXON_NAME"
"TC","Festuco-Puccinellietea"
"TCA","Puccinellion limosae"
"TCA01","Puccinellietum limosae"
"TCB","Juncion gerardii"
"TCB01","Scorzonero parviflorae-Juncetum gerardii"
"TCB02","Loto tenuis-Potentilletum anserinae"
"TCB03","Agrostio stoloniferae-Juncetum ranarii"
"TD","Molinio-Arrhenatheretea"
"TDA","Arrhenatherion elatioris"
"TDA01","Pastinaco sativae-Arrhenatheretum elatioris"
"TDA02","Ranunculo bulbosi-Arrhenatheretum elatioris"
"TDA03","Poo-Trisetetum flavescentis"
"TDA04","Potentillo albae-Festucetum rubrae"
"TDB","Polygono bistortae-Trisetion flavescentis"
"TDB01","Geranio sylvatici-Trisetetum flavescentis"
"TDB02","Melandrio rubri-Phleetum alpini"
"TDB03","Meo athamantici-Festucetum rubrae"
"TDC","Cynosurion cristati"
"TDC01","Lolio perennis-Cynosuretum cristati"
"TDC02","Anthoxantho odorati-Agrostietum tenuis"
"TDC03","Lolietum perennis"
"TDC04","Prunello vulgaris-Ranunculetum repentis"
"TDC05","Alchemillo hybridae-Poetum supinae"
"TDD","Molinion caeruleae"
"TDD01","Molinietum caeruleae"
"TDD02","Junco effusi-Molinietum caeruleae"
"TDE","Deschampsion cespitosae"
"TDE01","Poo trivialis-Alopecuretum pratensis"
"TDE02","Holcetum lanati"
"TDE03","Lathyro palustris-Gratioletum officinalis"
"TDE04","Cnidio dubii-Deschampsietum cespitosae"
"TDE05","Scutellario hastifoliae-Veronicetum longifoliae"
"TDF","Calthion palustris"
"TDF01","Angelico sylvestris-Cirsietum oleracei"
"TDF02","Cirsietum rivularis"
"TDF03","Angelico sylvestris-Cirsietum palustris"
"TDF04","Crepido paludosae-Juncetum acutiflori"
"TDF05","Polygono bistortae-Cirsietum heterophylli"
"TDF06","Chaerophyllo hirsuti-Calthetum palustris"
"TDF07","Scirpo sylvatici-Cirsietum cani"
"TDF08","Scirpetum sylvatici"
"TDF09","Caricetum cespitosae"
"TDF10","Scirpo sylvatici-Caricetum brizoidis"
"TDF11","Junco inflexi-Menthetum longifoliae"
"TDF12","Filipendulo ulmariae-Geranietum palustris"
"TDF13","Lysimachio vulgaris-Filipenduletum ulmariae"
"TDF14","Chaerophyllo hirsuti-Filipenduletum ulmariae"
"TE","Calluno-Ulicetea"
"TEA","Nardion strictae"
"TEA01","Festuco supinae-Nardetum strictae"
"TEA02","Thesio alpini-Nardetum strictae"
"TEB","Nardo strictae-Agrostion tenuis"
"TEB01","Sileno vulgaris-Nardetum strictae"
"TEC","Violion caninae"
"TEC01","Festuco capillatae-Nardetum strictae"
"TEC02","Campanulo rotundifoliae-Dianthetum deltoidis"
"TED","Nardo strictae-Juncion squarrosi"
"TED01","Juncetum squarrosi"
"TEE","Euphorbio cyparissiae-Callunion vulgaris"
"TEE01","Euphorbio cyparissiae-Callunetum vulgaris"
"TEF","Genisto pilosae-Vaccinion"
"TEF01","Vaccinio-Callunetum vulgaris"
"TEF02","Calamagrostio arundinaceae-Vaccinietum myrtilli"
"TEF03","Festuco supinae-Vaccinietum myrtilli"
"TF","Koelerio-Corynephoretea"
"TFA","Corynephorion canescentis"
"TFA01","Corniculario aculeatae-Corynephoretum canescentis"
"TFA02","Festuco psammophilae-Koelerietum glaucae"
"TFB","Thero-Airion"
"TFB01","Airetum praecocis"
"TFB02","Vulpietum myuri"
"TFC","Armerion elongatae"
"TFC01","Sileno otitae-Festucetum brevipilae"
"TFC02","Erysimo diffusi-Agrostietum capillaris"
"TFD","Hyperico perforati-Scleranthion perennis"
"TFD01","Polytricho piliferi-Scleranthetum perennis"
"TFD02","Jasiono montanae-Festucetum ovinae"
"TFE","Arabidopsion thalianae"
"TFE01","Festuco-Veronicetum dillenii"
"TFF","Alysso alyssoidis-Sedion"
"TFF01","Cerastietum"
"TFF02","Alysso alyssoidis-Sedetum"
"TG","Festucetea vaginatae"
"TGA","Festucion vaginatae"
"TGA01","Diantho serotini-Festucetum vaginatae"
"TH","Festuco-Brometea"
"THA","Alysso-Festucion pallentis"
"THA01","Festuco pallentis-Aurinietum saxatilis"
"THA02","Seselio ossei-Festucetum pallentis"
"THA03","Sedo albi-Allietum montani"
"THA04","Helichryso arenariae-Festucetum pallentis"
"THB","Bromo pannonici-Festucion pallentis"
"THB01","Poo badensis-Festucetum pallentis"
"THC","Diantho lumnitzeri-Seslerion"
"THC01","Carici humilis-Seslerietum caeruleae"
"THC02","Minuartio setaceae-Seslerietum caeruleae"
"THC03","Saxifrago paniculatae-Seslerietum caeruleae"
"THC04","Asplenio cuneifolii-Seslerietum caeruleae"
"THD","Festucion valesiacae"
"THD01","Festuco valesiacae-Stipetum capillatae"
"THD02","Erysimo crepidifolii-Festucetum valesiacae"
"THD03","Festuco rupicolae-Caricetum humilis"
"THD04","Koelerio macranthae-Stipetum joannis"
"THD05","Stipetum tirsae"
"THD06","Astragalo exscapi-Crambetum tatariae"
"THE","Cirsio-Brachypodion pinnati"
"THE01","Scabioso ochroleucae-Brachypodietum pinnati"
"THE02","Cirsio pannonici-Seslerietum caeruleae"
"THE03","Polygalo majoris-Brachypodietum pinnati"
"THE04","Plantagini maritimae-Caricetum flaccae"
"THF","Bromion erecti"
"THF01","Carlino acaulis-Brometum erecti"
"THF02","Brachypodio pinnati-Molinietum arundinaceae"
"THG","Koelerio-Phleion phleoidis"
"THG01","Potentillo heptaphyllae-Festucetum rupicolae"
"THG02","Avenulo pratensis-Festucetum valesiacae"
"THG03","Viscario vulgaris-Avenuletum pratensis"
"THH","Geranion sanguinei"
"THH01","Trifolio alpestris-Geranietum sanguinei"
"THH02","Geranio sanguinei-Dictamnetum albae"
"THH03","Geranio sanguinei-Peucedanetum cervariae"
"THI","Trifolion medii"
"THI01","Trifolio medii-Agrimonietum eupatoriae"
"THI02","Trifolio-Melampyretum nemorosi"
"VA","Lemnetea"
"VAA","Lemnion minoris"
"VAA01","Lemnetum trisulcae"
"VAA02","Lemnetum minoris"
"VAA03","Lemnetum minori-turioniferae"
"VAA04","Lemno-Spirodeletum polyrhizae"
"VAA05","Lemnetum gibbae"
"VAA06","Lemno gibbae-Wolffietum arrhizae"
"VAA07","Salvinio natantis-Spirodeletum polyrhizae"
"VAA08","Ceratophyllo-Azolletum filiculoidis"
"VAA09","Lemno minoris-Riccietum fluitantis"
"VAA10","Riccietum rhenanae"
"VAA11","Ricciocarpetum natantis"
"VAB","Utricularion vulgaris"
"VAB01","Lemno-Utricularietum"
"VAB02","Utricularietum australis"
"VAC","Hydrocharition morsus-ranae"
"VAC01","Hydrocharitetum morsus-ranae"
"VAC02","Stratiotetum aloidis"
"VAC03","Ceratophylletum demersi"
"VAC04","Potamo-Ceratophylletum submersi"
"VB","Potametea"
"VBA","Nymphaeion albae"
"VBA01","Nymphaeo albae-Nupharetum luteae"
"VBA02","Nymphaeetum albae"
"VBA03","Nymphaeetum candidae"
"VBA04","Nupharetum pumilae"
"VBA05","Trapetum natantis"
"VBA06","Nymphoidetum peltatae"
"VBA07","Potamo natantis-Polygonetum natantis"
"VBB","Potamion"
"VBB01","Potametum natantis"
"VBB02","Potametum graminei"
"VBB03","Scirpo fluitantis-Potametum polygonifolii"
"VBB04","Potametum lucentis"
"VBB05","Potametum perfoliati"
"VBB06","Elodeetum canadensis"
"VBB07","Potamo pectinati-Myriophylletum spicati"
"VBB08","Myriophylletum verticillati"
"VBB09","Potametum tenuifolii"
"VBB10","Groenlandietum densae"
"VBB11","Potametum denso-nodosi"
