"AUTHOR","AUTH_NAME"
"0497","Sýkora L."
"0498","Albrechtová Alena"
"0499","Knížetová Ludmila"
"0500","Kučerová Věra"
"0501","Černý Rostislav"
"0502","Toběrná Věra"
"0503","Brusová Renata"
"0504","Sedláčková Danuše"
"0505","Golde A."
"0506","Müller Frank"
"0507","Hadinec Jiří"
"0508","Nekvasilová = Kalinová Hana"
"0509","Kubešová Svatava"
"0510","Houšková Eva"
"0511","Abtová Margita"
"0512","Kučera Jan"
"0513","Hamerský Roman"
"0514","Plánská Marta"
"0515","Čapková Marie"
"0516","Nováková Jana"
"0517","Deyl Miloš"
"0518","Formanová Irena"
"0519","Skuhrovec Josef"
"0520","Pluhař Viktor"
"0521","Krčilová Jitka"
"0522","Unar Pavel"
"0523","Švarc Jaromír"
"0524","Meduna K."
"0525","Horňanský J."
"0526","Novotný Ivan"
"0527","Svobodová Jitka"
"0528","Voráčková Z."
"0529","Šmiták Jindřich"
"0530","Vlach V."
"0531","Koblížek Jaroslav"
"0532","Jongepier Jan Willem"
"0533","Faltys Vladimír"
"0534","Šteklová A."
"0535","Zlámalík Josef"
"0536","Meduna V."
"0537","Seidl"
"0538","Král Jiří"
"0539","Ráčilová Marta"
"0540","Chlumská Libuše"
"0541","Neuschlová Šárka"
"0542","Sýkorová Jarmila"
"0543","Stoeva P. Milka"
"0544","Podpěra Josef"
"0555","Buršík J."
"0556","Cipra J."
"0557","Černý J."
"0558","Zelenková D."
"0559","Zelenková K."
"0560","Červenka J."
"0561","Hladilin V."
"0562","Jiráček J."
"0563","Melichar M."
"0564","Roubík J."
"0565","Samec P."
"0566","Vitner Č."
"0567","Vokoun J."
"0568","Bartoň R."
"0569","Klinka Karel"
"0570","Krátký J."
"0571","Kurz K."
"0572","Majer J."
"0573","Nejedlý F."
"0574","Plíva Karel"
"0575","Prchal J."
"0576","Prošek V."
"0577","Strejc J."
"0578","Tichý L. - lesník"
"0579","Pěnička L."
"0580","Smejkal J."
"0581","Vondráček R."
"0582","Buchta V."
"0583","Gregor J."
"0584","Havlíček K."
"0585","Mikeska Miroslav"
"0586","Podhorník J."
"0587","Bělík M."
"0588","Cichra D."
"0589","Černohlávek J."
"0590","Driml J."
"0591","Fiala P."
"0592","Juřenčák J."
"0593","Kelbl M."
"0594","Krobot M."
"0595","Lazebníček Jiří"
"0596","Mazal M."
"0597","Nikl J."
"0598","Plintovič M."
"0599","Prudič Zdeněk"
"0600","Holuša J."
"0601","Holuša Otakar"
"0602","Satora M."
"0603","Togner J."
"0604","Lekeš V."
"0605","Peřina J."
"0606","Tobek Z."
"0607","Bednář Z."
"0608","Kusbach Antonín"
"0609","Macek L."
"0610","Sýkora M."
"0611","Vajner P."
"0612","Pašek M."
"0613","Rejmond A."
"0614","Boček M."
"0615","Kučírek Lubomír"
"0616","Mrázek J."
"0617","Tichý J."
"0618","Karlík Petr"
"0619","Hájková = Burianová Petra"
"0620","Dančák Martin"
"0621","Jongepierová Ivana"
"0622","Vondrák Jan"
"0623","Prymusová Zdenka"
"0624","Sigmond J."
"0625","Mudra Petr"
"0626","Bímová Kateřina"
"0628","Belicová Jiřina"
"0629","Adámková = Havránková Helena"
"0630","Juchelková B."
"0631","Čechurová Olga"
"0632","Šustr Pavel"
"0633","Šmilauer Petr"
"0634","Novotná Klára"
"0635","Kriesl Antonín"
"0636","Stančík Daniel"
"0637","Dědečková Veronika"
"0638","Müller-Stoll Wolfgang R."
"0639","Boublík Karel"
"0641","Musil A."
"0642","Maděra Petr"
"0643","Štykar Jan"
"0644","Lacina Jan"
"0645","Buček Antonín"
"0646","Figer F."
"0647","Gerišová Zoja"
"0648","Hartman Zdeněk"
"0649","Heroldová Marta"
"0650","Mannová Veronika"
"0651","Tesař V."
"0652","Špačková Petr"
"0653","Šanderová = Opavová Alena"
"0654","Businský Roman"
"0655","Holubová Jitka"
"0656","Melichar Vladimír"
"0657","Holub Vladimír"
