"SYNTAX_OLD","SYNTAXON_OLD_NAME"
"26AC07","Primulo veris-Seslerietum calcariae"
"26AD","Asplenio cuneifolii-Armerion serpentini"
"26AD01","Asplenio cuneifolii-Festucetum pallentis"
"26AD02","Asplenio cuneifolii-Seslerietum calcariae"
"26AD03","Armerio serpentini-Festucetum pseudovinae"
"26AE","Festucion valesiacae"
"26AE'","Festucenion valesiacae"
"26AE01","Erysimo crepidifolii-Festucetum valesiacae"
"26AE02","Carici humilis-Festucetum sulcatae"
"26AE03","Festuco valesiacae-Stipetum capillatae"
"26AE04","Avenastro besseri-Stipetum joannis"
"26AE05","Koelerio macranthae-Stipetum joannis"
"26AE06","Pulsatillo pratensis-Festucetum valesiacae"
"26AE07","Stipetum capillatae"
"26AE08","Astragalo-Stipetum"
"26AE09","Ranunculo illyrici-Festucetum valesiacae"
"26AE10","Scabioso suaveolentis-Caricetum humilis"
"26AE11","Astragalo exscapi-Crambetum tatariae"
"26AE12","Astragalo austriaci-Stipetum capillatae"
"26AE13","Minuartio setaceae-Stipetum capillatae"
"26AE14","Agrostio pusillae-Festucetum valesiacae"
"26AE15","Fragario-Festucetum rupicolae"
"26AE16","Teucrio chamaedrys-Festucetum rupicolae"
"26AE''","Coronillo variae-Festucenion rupicolae"
"26AE17","Diantho deltoidis-Festucetum rupicolae"
"26AE'''","Astragalo austriaci-Achilleenion setaceae"
"26AE18","Salvio nemorosae-Melicetum transsilvanicae"
"26AE19","Potentillo argenteae-Achilleetum setaceae"
"26AE20","Thymo pannonici-Poetum angustifoliae"
"26AE21","Agrimonio eupatoriae-Festucetum valesiacae"
"26AE22","Podospermo laciniati-Agropyretum repentis"
"26AE23","Artemisio ponticae-Dianthetum carthusianorum"
"26AE24","Adonido vernalis-Agropyretum repentis"
"26AE25","Hyperico perforati-Festucetum valesiacae"
"26B","BROMETALIA ERECTI"
"26BA","Bromion erecti"
"26BA01","Scabioso ochroleucae-Brachypodietum pinnati"
"26BA02","Cirsio pannonici-Seslerietum calcariae"
"26BA03","Ononido spinosae-Cirsietum acaulis"
"26BA04","Festuco-Brachypodietum pinnati"
"26BA05","Adonido-Brachypodietum pinnati"
"26BA06","Lino tenuifolii-Ononidetum spinosae"
"26BA07","Pulsatillo pratensis-Globularietum elongatae"
"26BA08","Brachypodio pinnati-Seslerietum"
"26BA09","Astragalo austriaci-Brachypodietum pinnati"
"26BA10","Corothamno-Brachypodietum pinnati"
"26BA11","Potentillo albae-Brachypodietum pinnati"
"26BA12","Brachypodio-Molinietum"
"26BA13","Verbasco austriaci-Inuletum ensifoliae"
"26BA14","Salvio verticillatae-Sanguisorbetum minoris"
"26BA15","Potentillo reptantis-Caricetum flaccae"
"26BA16","Astragalo ciceris-Vicietum tenuifoliae"
"26BA17","Gentiano germanicae-Koelerietum pyramidatae"
"26BB","Koelerio-Phleion phleoidis"
"26BB01","Potentillo opacae-Festucetum sulcatae"
"26BB02","Pulsatillo pratensis-Avenochloetum pratensis"
"26BB03","Calluno-Festucetum rupicolae"
"26BB04","Scabioso-Phleetum"
"27","TRIFOLIO-GERANIETEA SANGUINEI"
"27A","ORIGANETALIA VULGARIS"
"27AA","Geranion sanguinei"
"27AA01","Geranio-Anemonetum sylvestris"
"27AA02","Geranio-Dictamnetum"
"27AA03","Peucedanetum cervariae"
"27AA04","Geranio-Trifolietum alpestris"
"27AA05","Vincetoxico hirundinariae-Origanetum vulgaris"
"27AB","Trifolion medii"
"27AB01","Trifolio medii-Agrimonietum"
"27AB02","Vicietum sylvaticae"
"27AB03","Cynancho-Calamagrostietum arundinaceae"
"28","BETULO CARPATICAE-ALNETEA VIRIDIS"
"28A","ALNETALIA VIRIDIS"
"28AA","Salicion silesiacae"
"28AA01","Salici silesiacae-Betuletum carpaticae"
"28AA02","Piceo-Salicetum silesiacae"
"29","RHAMNO-PRUNETEA"
"29A","PRUNETALIA"
"29AA","Berberidion"
"29AA01","Pruno-Ligustretum"
"29AA02","Roso gallicae-Prunetum"
"29AA03","Antherico-Coryletum"
